userFromName,userFromId,userToId,userToName,Sentiment_from,Sentiment_to,weight
ahanafatima786,9.11E+17,8.38E+17,hisamuddink51,-0.37,-0.66,0.2442
AzmiAxpress,1.08E+18,8.38E+17,hisamuddink51,0,-0.66,0
Sana__Siddique,1.05E+18,8.38E+17,hisamuddink51,0.82,-0.66,-0.5412
_GuruGhantal_,1.01E+18,8.38E+17,hisamuddink51,0,-0.66,0
SUBASH50693,1.04E+18,8.38E+17,hisamuddink51,-0.33,-0.66,0.2178
WDhongre,1.04E+18,1530182425,AbidDairdwal,-0.69,0,0
vikascongress,244818009,1530182425,AbidDairdwal,0.9,0,0
WDhongre,1.04E+18,1.03E+18,ERRKVAID3,-0.69,0,0
akhterzaidi,437753350,1.03E+18,ERRKVAID3,0.23,0,0
MdKhan7861,526846831,1399044073,kamranYC,0.37,-0.79,-0.2923
MahapatPravat,2875395596,1399044073,kamranYC,0.58,-0.79,-0.4582
prafupriti,400547260,1399044073,kamranYC,0.27,-0.79,-0.2133
Kadirsolanki2,9.86E+17,2875395596,MahapatPravat,0.19,0.58,0.1102
hisamuddink51,8.38E+17,2875395596,MahapatPravat,-0.66,0.58,-0.3828
Sana__Siddique,1.05E+18,2875395596,MahapatPravat,0.82,0.58,0.4756
CongressALL,86663727,2875395596,MahapatPravat,0.55,0.58,0.319
Rahis29411164,1.01E+18,2875395596,MahapatPravat,-0.75,0.58,-0.435
SUBASH50693,1.04E+18,2875395596,MahapatPravat,-0.33,0.58,-0.1914
Kadirsolanki2,9.86E+17,526846831,MdKhan7861,0.19,0.37,0.0703
hisamuddink51,8.38E+17,526846831,MdKhan7861,-0.66,0.37,-0.2442
CongressALL,86663727,526846831,MdKhan7861,0.55,0.37,0.2035
vikascongress,244818009,8.07E+17,Sajjad29101278,0.9,0.62,0.558
akhterzaidi,437753350,8.07E+17,Sajjad29101278,0.23,0.62,0.1426
Rahis29411164,1.01E+18,8.07E+17,Sajjad29101278,-0.75,0.62,-0.465
scrrwer,123209305,8.07E+17,Sajjad29101278,0,0.62,0
AnilKumarSaga11,4226305694,1353739118,YashodanandanS,0,0,0
satishshuklaa,126849159,7.95E+17,PawanSharma2004,0,-0.52,0
hisamuddink51,8.38E+17,1.08E+18,AzmiAxpress,-0.66,0,0
IndiaPolls4,1.09E+18,1.08E+18,AzmiAxpress,-0.22,0,0
CongressALL,86663727,1.08E+18,AzmiAxpress,0.55,0,0
AaliyaAkhter,1.08E+18,1.08E+18,AzmiAxpress,-0.49,0,0
SUBASH50693,1.04E+18,1.08E+18,AzmiAxpress,-0.33,0,0
hisamuddink51,8.38E+17,8.28E+17,Rturki0786,-0.66,0.18,-0.1188
ahanafatima786,9.11E+17,8.28E+17,Rturki0786,-0.37,0.18,-0.0666
hisamuddink51,8.38E+17,2658438998,devendranathyad,-0.66,0.37,-0.2442
ERRKVAID3,1.03E+18,2658438998,devendranathyad,0,0.37,0
56perumal,1666873268,2658438998,devendranathyad,0.29,0.37,0.1073
Sayed23219671,9.94E+17,2658438998,devendranathyad,0,0.37,0
rahulyadav0421,2969169408,2658438998,devendranathyad,0.43,0.37,0.1591
AnkurYa20727560,8.71E+17,2658438998,devendranathyad,0,0.37,0
Sana__Siddique,1.05E+18,2658438998,devendranathyad,0.82,0.37,0.3034
AaliyaAkhter,1.08E+18,2658438998,devendranathyad,-0.49,0.37,-0.1813
hisamuddink51,8.38E+17,4245793992,kawaljeetyadav7,-0.66,-0.64,0.4224
Sayed23219671,9.94E+17,4245793992,kawaljeetyadav7,0,-0.64,0
AzmiAxpress,1.08E+18,4245793992,kawaljeetyadav7,0,-0.64,0
rahulyadav0421,2969169408,4245793992,kawaljeetyadav7,0.43,-0.64,-0.2752
AnkurYa20727560,8.71E+17,4245793992,kawaljeetyadav7,0,-0.64,0
SUBASH50693,1.04E+18,4245793992,kawaljeetyadav7,-0.33,-0.64,0.2112
hisamuddink51,8.38E+17,9.29E+17,MOHAMMED___SRH,-0.66,-0.59,0.3894
akhterzaidi,437753350,9.29E+17,MOHAMMED___SRH,0.23,-0.59,-0.1357
Drraj94397198,9.47E+17,9.29E+17,MOHAMMED___SRH,0.77,-0.59,-0.4543
ahanafatima786,9.11E+17,9.29E+17,MOHAMMED___SRH,-0.37,-0.59,0.2183
AzmiAxpress,1.08E+18,9.29E+17,MOHAMMED___SRH,0,-0.59,0
AaliyaAkhter,1.08E+18,9.29E+17,MOHAMMED___SRH,-0.49,-0.59,0.2891
hisamuddink51,8.38E+17,607270051,IAmShereAalam,-0.66,0,0
ahanafatima786,9.11E+17,607270051,IAmShereAalam,-0.37,0,0
AaliyaAkhter,1.08E+18,607270051,IAmShereAalam,-0.49,0,0
SSP_Twitt,9.13E+17,607270051,IAmShereAalam,0,0,0
hisamuddink51,8.38E+17,9.15E+17,Mushtaque51,-0.66,0.71,-0.4686
ERRKVAID3,1.03E+18,9.15E+17,Mushtaque51,0,0.71,0
ERRKVAID3,1.03E+18,1.04E+18,WDhongre,0,-0.69,0
akhterzaidi,437753350,9.91E+17,Maharani451,0.23,0,0
Rahis29411164,1.01E+18,9.91E+17,Maharani451,-0.75,0,0
aftabnazim786,4123141394,9.91E+17,Maharani451,0.68,0,0
akhterzaidi,437753350,1.04E+18,SUBASH50693,0.23,-0.33,-0.0759
AzmiAxpress,1.08E+18,1.04E+18,SUBASH50693,0,-0.33,0
AaliyaAkhter,1.08E+18,1.04E+18,SUBASH50693,-0.49,-0.33,0.1617
akhterzaidi,437753350,9.47E+17,Drraj94397198,0.23,0.77,0.1771
AzmiAxpress,1.08E+18,9.47E+17,Drraj94397198,0,0.77,0
_GuruGhantal_,1.01E+18,9.47E+17,Drraj94397198,0,0.77,0
AaliyaAkhter,1.08E+18,9.47E+17,Drraj94397198,-0.49,0.77,-0.3773
DasiTwinkle,9.12E+17,1.01E+18,SmritiRani13,-0.59,0.83,-0.4897
_akhil_d,3002147029,146046849,IamArvnd,0,0.86,0
SmritiRani13,1.01E+18,9.12E+17,DasiTwinkle,0.83,-0.59,-0.4897
AzmiAxpress,1.08E+18,1.09E+18,IndiaPolls4,0,-0.22,0
IamArvnd,146046849,3002147029,_akhil_d,0.86,0,0
CongressALL,86663727,9.59E+17,HakimSinghRagh1,0.55,0,0
CongressALL,86663727,9.86E+17,Kadirsolanki2,0.55,0.19,0.1045
scrrwer,123209305,9.84E+17,hadhai_yaar,0,-0.47,0
SarwanK31710137,1.03E+18,8.49E+17,ramesh00302,-0.33,-0.47,0.1551
Khushbu08043662,1.05E+18,8.49E+17,ramesh00302,0,-0.47,0
ramesh00302,8.49E+17,1.04E+18,AnitaDasi12,-0.47,0.73,-0.3431
AaliyaAkhter,1.08E+18,7.07E+17,alishaikh1737,-0.49,0.39,-0.1911
AaliyaAkhter,1.08E+18,7.01E+17,Fairystylesmoon,-0.49,0.73,-0.3577
AaliyaAkhter,1.08E+18,9.58E+17,Bharat7140,-0.49,-0.64,0.3136
sachinsingh2305,8.17E+17,7.01E+17,bharati_mrinal,0,0,0
